"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"82" "Juvonen, Janne" "Pelicans" "Kiihtelysvaara, FIN" "FIN" 1994-10-03 24 "185" "83" "L" 10 1994 21 16
"83" "Järveläinen, Ville" "SaiPa" "Hämeenlinna, FIN" "FIN" 1993-02-24 25 "164" "67" "R" 2 1993 22 16
"84" "Järvenpää, Juha" "KooKoo" "Pori, FIN" "FIN" 1989-05-11 29 "182" "82" "L" 5 1989 26 16
"85" "Järvinen, Kristian" "HPK" "Turku, FIN" "FIN" 1992-07-29 26 "179" "75" "L" 7 1992 23 16
"86" "Järvinen, Jan-Mikael" "Tappara" "Pirkkala, FIN" "FIN" 1988-02-26 30 "174" "78" "L" 2 1988 27 16
"87" "Järvinen, Joonas" "HIFK" "Turku, FIN" "FIN" 1989-01-05 29 "190" "97" "L" 1 1989 26 16
"88" "Järvinen, Mika" "Sport" "Hattula, FIN" "FIN" 1988-11-15 30 "177" "85" "L" 11 1988 27 16
"89" "Järvinen, Ville" "Ilves" "Tampere, FIN" "FIN" 1997-01-03 21 "194" "92" "L" 1 1997 18 16
"90" "Jääskeläinen, Joona*" "SaiPa" "Imatra, FIN" "FIN" 1996-09-05 22 "175" "79" "R" 9 1996 19 16
"91" "Jääskä, Juha*" "HIFK" "Helsinki, FIN" "FIN" 1998-02-09 20 "179" "86" "L" 2 1998 17 16
"92" "Kaarlehto, Karolus*" "TPS" "Kaarina, FIN" "FIN" 1997-09-01 21 "186" "75" "L" 9 1997 18 16
"93" "Kaijomaa, Kalle" "TPS" "Joensuu, FIN" "FIN" 1984-06-01 34 "187" "93" "L" 6 1984 31 16
"94" "Kainulainen, Harri*" "HPK" "Hämeenlinna, FIN" "FIN" 1996-03-21 22 "188" "82" "R" 3 1996 19 16
"95" "Kaislehto, Teemu*" "HPK" "-" "FIN" 1994-05-25 24 "190" "93" "L" 5 1994 21 16
"96" "Kaksonen, Elmeri" "SaiPa" "Savonlinna, FIN" "FIN" 1987-02-12 31 "182" "82" "L" 2 1987 28 16
"97" "Kalapudas, Antti" "KalPa" "Oulainen, FIN" "FIN" 1996-07-22 22 "182" "85" "L" 7 1996 19 16
"98" "Kallela, Toni" "Ässät" "Oulainen, FIN" "FIN" 1993-01-10 25 "178" "83" "L" 1 1993 22 16
"99" "Kallio, Tomi" "TPS" "Turku, FIN" "FIN" 1977-01-27 41 "184" "86" "L" 1 1977 38 16
"100" "Kalteva, Mikko" "JYP" "Hyvinkää, FIN" "FIN" 1984-05-25 34 "192" "92" "L" 5 1984 31 16
"101" "Kangasmäki, Aki+" "KooKoo" "Rauma, FIN" "FIN" 1989-05-24 29 "190" "98" "L" 5 1989 26 16
"102" "Kangasniemi, Iikka*" "Blues" "Oulu, FIN" "FIN" 1995-02-18 23 "170" "70" "L" 2 1995 20 16
"103" "Kanninen, Henri*" "JYP" "Jyväskylä, FIN" "FIN" 1994-10-17 24 "190" "83" "L" 10 1994 21 16
"104" "Karevaara, Joona" "HPK" "-" "FIN" 1987-08-26 31 "187" "89" "R" 8 1987 28 16
"105" "Karhunen, Tomi" "Tappara" "Oulu, FIN" "FIN" 1989-10-29 29 "179" "79" "L" 10 1989 26 16
"106" "Karjalainen, Antti*" "Lukko" "Kajaani, FIN" "FIN" 1995-08-23 23 "188" "90" "L" 8 1995 20 16
"107" "Karjalainen, Jere" "Tappara" "Helsinki, FIN" "FIN" 1992-05-23 26 "175" "80" "R" 5 1992 23 16
"108" "Karjalainen, Miro" "HIFK" "Vihti, FIN" "FIN" 1996-05-23 22 "197" "97" "R" 5 1996 19 16
"109" "Karjalainen, Teemu*" "HPK" "-" "FIN" 1995-05-29 23 "190" "80" "R" 5 1995 20 16
"110" "Karvinen, Otto" "Sport" "Vantaa, FIN" "FIN" 1990-04-08 28 "187" "85" "L" 4 1990 25 16
"111" "Karvonen, Elias*" "TPS" "Turku, FIN" "FIN" 1994-07-28 24 "183" "88" "L" 7 1994 21 16
"112" "Katosalmi, Janne*" "KalPa" "-" "FIN" 1994-03-04 24 "169" "74" "R" 3 1994 21 16
"113" "Kemiläinen, Valtteri" "JYP" "Jyväskylä, FIN" "FIN" 1991-12-16 26 "184" "87" "R" 12 1991 24 16
"114" "Kerälä, Antti" "Ässät" "Hämeenlinna, FIN" "FIN" 1987-02-13 31 "182" "80" "L" 2 1987 28 16
"115" "Keränen, Janne" "KalPa" "Nurmijärvi, FIN" "FIN" 1987-06-30 31 "178" "89" "L" 6 1987 28 16
"116" "Keränen, Juho" "Kärpät" "Keitele, FIN" "FIN" 1985-04-07 33 "176" "89" "R" 4 1985 30 16
